Section,Category,Type,Manufactured,Price,Energy_value
Бакалея,Консервы и мёд,Готовые блюда,"ЗАО ""Лыткаринский МПЗ""",69,53.7
Напитки,"Соки, нектары",Соки,"(L) - ООО ""Лебедянский"", (1) - АО ""ВБД""&lt,br/&gt,- код изготовителя и производства указан на упаковке",33,45.0
Товары для животных,Корма и лакомства,Корма и лакомства для собак,"ООО ""Наро-Фоминский консервный завод"", ООО Елецкий мясокомбинат",89,101.0
Напитки,"Соки, нектары",Соки,"ООО ""Тихвинский уездъ""",99,33.0
"Хлеб, кондитерские изделия","Шоколад, конфеты, жевательная резинка","Конфеты, марципан, драже","ООО ""Фирма ""ЭСТ""",54,460.0
"Хлеб, кондитерские изделия","Печенье, пряники, вафли","Печенье, галеты, крекеры","ООО КФ ""МАГНИТКА""",47,441.0
Бакалея,"Растительные масла, соусы","Соусы, кетчупы, томатные пасты","АО ""Нэфис-Биопродукт""",73,521.0
"Мясо, рыба, кулинария",Мясная гастрономия,"Деликатесы, паштеты, заливное","ООО ""МПЗ Богородский""",384,367.0
"Хлеб, кондитерские изделия","Баранки, сушки, сухари","Сухари, хлебные палочки","ОАО ""Электростальхлеб""",54,270.0
"Хлеб, кондитерские изделия","Печенье, пряники, вафли","Печенье, галеты, крекеры","ООО ""Ванюшкины сладости""",146,480.0
Бакалея,"Растительные масла, соусы","Соусы, кетчупы, томатные пасты",Monini,267,416.0
Детские товары,Детское питание,Детские каши,Topfer GmbH,347,388.0
Детские товары,Детское питание,Детские молочные продукты,"АО ""Данон Россия""",44,72.4
Наши марки,Глобус,None,"ООО ""ФерЭльГам""",71,30.0
"Молочные продукты, сыр, яйца",Сыры,Сыры плавленые,"ЗАО Московский завод плавленых сыров ""Карат""",153,253.0
Бакалея,"Растительные масла, соусы","Соусы, кетчупы, томатные пасты",Carl Kuhne KG,189,106.0
Бакалея,"Растительные масла, соусы","Соусы, кетчупы, томатные пасты","ООО ""Русский продукт""",82,110.0
Замороженные продукты,Замороженные готовые блюда и полуфабрикаты,Первые блюда,"ООО ""Кафе ин кафе Интернешнл""",124,62.0
Замороженные продукты,"Замороженные фрукты, овощи, смеси",Замороженные овощи и смеси,"ООО ""Трио-Инвест""",134,214.0
Напитки,"Лимонады, тоники, газированные напитки",None,"ООО ""ПК ""Аквалайф""",59,1.2
Бакалея,Консервы и мёд,Овощные консервы,"ООО ""Нальчикский консервный завод""",169,16.0
Бакалея,"Растительные масла, соусы","Соусы, кетчупы, томатные пасты","ООО ""ФОРТ-Н XXI""",34,90.0
Бакалея,Мука и кулинарные ингредиенты,Кулинарные ингредиенты,"ООО ""МарципанСПБ""",106,370.0
Бакалея,Диетические продукты,Продукты для похудения,"ООО ""Вастэко Партнерс""",129,430.0
"Хлеб, кондитерские изделия","Мармелад, зефир, пастила",Пастила,"ООО ТПК ""Старые Традиции""",224,312.4
Бакалея,"Растительные масла, соусы",Растительные масла,"ООО ""Виктория""",277,898.0
Бакалея,"Орехи, сухофрукты, семечки",Сушеные овощи и грибы,"ООО ""Зеленая горка""",129,447.0
Детские товары,Детское питание,Детское пюре,"ОАО ""Сады Придонья""",24,44.0
"Молочные продукты, сыр, яйца","Коктейли, десерты, каши","Десерты, желе","ООО ""Молочный завод ""Преображенский""",10,70.0
Бакалея,Чипсы и снеки,Сухарики,"ООО ""Фрито Лей Мануфактуринг""",52,440.0
"Мясо, рыба, кулинария",Птица,Охлажденная птица,"ЗАО ""Краснобор""",499,139.0
Напитки,"Соки, нектары",Соки,риха ВезерГольд Гетрэнке Гмбх и Ко. КГ,142,47.0
Бакалея,Крупы и макаронные изделия,Макароны и паста,DELVERDE INDUSTRIE ALIMENTARI S.p.A.,189,354.0
"Молочные продукты, сыр, яйца",Йогурт,Йогурты питьевые,"ООО ""Данон Индустрия""",78,118.0
"Хлеб, кондитерские изделия","Шоколад, конфеты, жевательная резинка","Конфеты, марципан, драже","ОАО ""РОТ ФРОНТ""",699,560.0
"Мясо, рыба, кулинария",Птица,Охлажденная птица,"ЗАО ""Моссельпром""",219,170.0
Замороженные продукты,"Мороженое, десерты",None,"ООО ""НБН-Пломбир""",27,250.0
"Хлеб, кондитерские изделия","Шоколад, конфеты, жевательная резинка",Шоколадные и ореховые пасты,"ООО ""Нуттис""",244,622.0
Бакалея,Консервы и мёд,Грибные консервы,ООО «Тайга-Продукт»,749,30.0
"Молочные продукты, сыр, яйца","Коктейли, десерты, каши","Десерты, желе","ООО ""Эрманн""",46,120.0
Бакалея,"Растительные масла, соусы","Соусы, кетчупы, томатные пасты",McIlhenny Company,237,47.0
"Мясо, рыба, кулинария",Мясная гастрономия,"Деликатесы, паштеты, заливное","ЗАО ""Хаме Фудс""",39,157.0
"Молочные продукты, сыр, яйца",Сыры,Сыры твердые и полутвердые,"ООО ""Великолукский молочный комбинат""",659,334.0
Товары для животных,Корма и лакомства,Корма и лакомства для собак,"ООО ""Рубис""",94,97.0
"Мясо, рыба, кулинария","Рыба, икра, морепродукты",Сушеная и вяленая рыба,"ООО ""АртГрупп""",129,72.0
"Хлеб, кондитерские изделия","Шоколад, конфеты, жевательная резинка",Шоколадные и ореховые пасты,"ООО ""ГК ПРОМСЕРВИС""",54,558.0
Собственное производство,Кондитерские изделия,Торты,"ООО ""Гиперглобус""",549,270.0
"Хлеб, кондитерские изделия","Шоколад, конфеты, жевательная резинка","Конфеты, марципан, драже","ООО ""КДВ Воронеж""",159,300.0
"Мясо, рыба, кулинария",Мясо,Мясные полуфабрикаты,"ООО ""Брянская мясная компания""",80,240.0
Бакалея,Продукты быстрого приготовления,Хлопья и каши,"ООО ""Ресурс""",9,380.0
Бакалея,Чипсы и снеки,Батончики,"ООО ""Здоровая планета""",92,376.0
"Молочные продукты, сыр, яйца","Молоко, сливки",Молоко,"ЗАО Молочный комбинат ""Авида""",59,55.0
"Хлеб, кондитерские изделия","Хлеб, лаваш, лепешки",Хлеб,"ООО ""Фацер""",69,222.0
Бакалея,"Орехи, сухофрукты, семечки",Сухофрукты и цукаты,"ООО ""БИОПАК""",149,400.0
Бакалея,"Растительные масла, соусы",Растительные масла,"ООО ""Виктория""",309,898.0
"Хлеб, кондитерские изделия","Печенье, пряники, вафли","Печенье, галеты, крекеры","ООО КФ ""Пять хлебов""",159,315.0
Собственное производство,Мясной цех,"Охлажденное мясо, фарш","ООО ""Гиперглобус""",369,226.0
Напитки,"Соки, нектары",Нектары и сокосодержащие напитки,"АО ""Мултон""",113,47.0
Бакалея,"Чай, кофе, какао",Черный чай,"ООО ""Юнилевер Русь""",94,1.0
Детские товары,Детское питание,"Соки, напитки","ООО ""Сады Придонья""",17,48.0
Замороженные продукты,"Мороженое, десерты",None,"ООО ""Хладокомбинат №3""",39,196.0
Детские товары,Детское питание,Детское пюре,"АО ""Прогресс""&lt,br/&gt,Игрушка: ""Гуала ПАК С.П,А.""",45,58.0
Бакалея,Продукты быстрого приготовления,"Сухие завтраки, мюсли, гранола","ООО ""НоваПродукт АГ""",142,174.0
Напитки,"Соки, нектары",Нектары и сокосодержащие напитки,Чабаа Бангкок Ко.,222,70.0
Бакалея,"Соль, сахар, специи",Специи и приправы,Kotanyi GmbH,204,205.0
Товары для животных,Корма и лакомства,Корма и лакомства для собак,"ООО ""ГросШеф""",999,355.0
"Хлеб, кондитерские изделия",Кексы и рулеты,Рулеты,"М - ООО ""Раменский кондитерский комбинат"",&lt,br/&gt,С - ООО ""Раменский кондитерский комбинат - Самара""",48,400.0
"Молочные продукты, сыр, яйца",Сыры,Сыры плавленые,"ООО ""Хохланд Руссланд""",29,220.0
Напитки,"Соки, нектары",Соки,"ООО ""Производственная компания ""ЛИДЕР""",34,20.0
Замороженные продукты,"Мороженое, десерты",None,"ООО ""Аморе""",359,197.0
Товары для животных,Корма и лакомства,Корма и лакомства для кошек,"ООО ""Марс""",364,370.0
"Молочные продукты, сыр, яйца",Кисломолочные продукты,Творог и творожные продукты,"АО ""ВБД""",34,128.0
"Хлеб, кондитерские изделия","Халва, лукум, восточные сладости","Нуга, щербет, ирис","ООО ""КВД Яшкино""",32,460.0
"Хлеб, кондитерские изделия","Шоколад, конфеты, жевательная резинка","Конфеты, марципан, драже","АО ""Акконд""",274,506.0
Бакалея,Мука и кулинарные ингредиенты,Мука,"ООО ""Фабрика Органик Продукт""",82,260.0
"Хлеб, кондитерские изделия","Шоколад, конфеты, жевательная резинка",Жевательная резинка,ООО «Мон’дэлис Русь»,19,175.0
"Хлеб, кондитерские изделия","Печенье, пряники, вафли","Печенье, галеты, крекеры","АО Кондитерское объединение ""Любимый Край""",64,460.0
"Хлеб, кондитерские изделия",Торты и пирожные,Торты и пирожные длительного хранения,"АО ""Конти-Рус""",94,430.0
"Хлеб, кондитерские изделия","Печенье, пряники, вафли","Печенье, галеты, крекеры","ООО ""Орион Интернейшнл Евро""",45,500.0
"Молочные продукты, сыр, яйца",Сыры,Сыры твердые и полутвердые,Пружанский МК,739,370.0
Детские товары,Детское питание,Детское пюре,"ООО ""Завод детского питания ""Фаустово""",51,90.0
"Хлеб, кондитерские изделия",Пироги и пирожки,None,"АО ""КБК ""Черемушки""",152,360.0
Бакалея,Диетические продукты,"Отруби, клетчатка, добавки","ООО ""Сампо""",61,364.0
Бакалея,Крупы и макаронные изделия,Макароны и паста,"ООО ""ДИЕТИКА""",134,327.6
"Хлеб, кондитерские изделия","Шоколад, конфеты, жевательная резинка","Конфеты, марципан, драже","ОАО ""РОТ ФРОНТ""",269,380.0
Бакалея,Консервы и мёд,Овощные консервы,"ООО ""Консервное предприятие Русское поле - Албаши""",92,97.0
Бакалея,Крупы и макаронные изделия,Другие крупы,"ООО ""Ресурс""",77,360.0
Бакалея,"Соль, сахар, специи",Специи и приправы,Podravka d.d.,264,160.0
"Хлеб, кондитерские изделия","Печенье, пряники, вафли","Печенье, галеты, крекеры","ООО ""Ванюшкины сладости""",64,450.0
Собственное производство,Пекарня,Хлеб,"ООО ""Гиперглобус""",29,215.8
Замороженные продукты,"Замороженные фрукты, овощи, смеси",Замороженные овощи и смеси,"ООО ""Фабрика замороженных полуфабрикатов""",46,32.0
Замороженные продукты,"Пельмени, вареники, хинкали",Пельмени,"ООО ""АОРС""",499,267.0
Товары для животных,Корма и лакомства,Корма и лакомства для кошек,"ООО ""Марс""",25,73.0
"Мясо, рыба, кулинария",Мясная гастрономия,Колбаса,"ООО ""Малаховский мясокомбинат""",179,228.0
"Хлеб, кондитерские изделия","Печенье, пряники, вафли",Вафли,"ООО ""КДВ Воронеж""",62,500.0
Детские товары,Детское питание,"Чай, батончики, печенье","ООО ""Фармалакт""",27,430.0
Товары для животных,Корма и лакомства,Корма и лакомства для кошек,"""ВАФО ПРАГА с.р.о""",1629,405.0
Бакалея,"Растительные масла, соусы","Соусы, кетчупы, томатные пасты","ООО ""Мистер Джемиус""",229,34.39
Бакалея,"Растительные масла, соусы",Растительные масла,Costa d'Oro S.p.A.(Коста д'Оро С.п.А.,334,900.0
Бакалея,Консервы и мёд,Овощные консервы,"F.H.U.P.""DAN""",147,17.0
Товары для животных,Корма и лакомства,Корма и лакомства для собак,Шандонг Люшес Пет Фуд Ко. ЛТД,134,315.0
Бакалея,"Растительные масла, соусы","Соусы, кетчупы, томатные пасты","ООО ""Империя соусов""",44,80.0
Напитки,"Соки, нектары",Нектары и сокосодержащие напитки,"ООО ""Плодовое-2009""",69,44.8
Бакалея,"Растительные масла, соусы","Соусы, кетчупы, томатные пасты","""Шаркон"" ЕООД",199,31.3
"Молочные продукты, сыр, яйца",Кисломолочные продукты,Сметана,"АО ""Тульский молочный комбинат""",82,210.0
Бакалея,"Орехи, сухофрукты, семечки",Семечки,EuroCompany99 d.o.o.,129,537.6
Товары для животных,Корма и лакомства,Корма и лакомства для собак,"ООО ""Марс""",999,350.0
"Хлеб, кондитерские изделия","Шоколад, конфеты, жевательная резинка","Конфеты, марципан, драже",J.N.T.C. Tromphenburg B.V.,194,372.0
"Хлеб, кондитерские изделия",Торты и пирожные,Торты и пирожные длительного хранения,TSC Food Products GmbH,158,484.0
"Хлеб, кондитерские изделия","Печенье, пряники, вафли","Печенье, галеты, крекеры","ООО ""Арт-Кондитер""",70,420.0
Бакалея,"Растительные масла, соусы","Соусы, кетчупы, томатные пасты",ООО «Юнилевер Русь»,78,80.0
Бакалея,"Растительные масла, соусы","Соусы, кетчупы, томатные пасты","Barilla G.&amp, R. Fratelli - SpA.",139,66.0
Бакалея,"Растительные масла, соусы","Соусы, кетчупы, томатные пасты",Consorzio Casalasco del Pomodoro Soc.Agr.Coop,159,512.0
"Хлеб, кондитерские изделия","Шоколад, конфеты, жевательная резинка",Шоколадные и ореховые пасты,"ООО ""СиЭко Фудс""",346,571.72
"Хлеб, кондитерские изделия","Шоколад, конфеты, жевательная резинка",Шоколад и шоколадные изделия,"ООО ""Нестле Россия""",79,507.0
Напитки,"Лимонады, тоники, газированные напитки",None,Green Cola Hellas SA / Грин Кола Хеллас,69,3.0
"Мясо, рыба, кулинария","Рыба, икра, морепродукты",Соленая рыба,"ООО""Союз-Биллион""",139,202.0
"Хлеб, кондитерские изделия","Печенье, пряники, вафли","Печенье, галеты, крекеры","ООО ""ВАСТЭКО Партнерс""",149,464.0
Бакалея,Чипсы и снеки,Другие снеки,"ООО ""Волшебная жива""",129,380.0
"Молочные продукты, сыр, яйца","Молоко, сливки",Молоко,"ОАО ""Вимм-Билль-Данн""",112,62.0
Бакалея,Консервы и мёд,Рыбные консервы,"ООО ""АПК ""Славянский-2000""",77,250.0
Собственное производство,Мясной цех,"Колбаса, ветчина","ООО ""Гиперглобус""",379,304.0
Замороженные продукты,"Пельмени, вареники, хинкали",Пельмени,"ООО ""Шельф-2000""",254,175.0
"Хлеб, кондитерские изделия","Шоколад, конфеты, жевательная резинка",Шоколад и шоколадные изделия,August Storck KG,99,572.0
Бакалея,"Соль, сахар, специи",Специи и приправы,ООО «Юнилевер Русь»,51,290.0
Товары для животных,Корма и лакомства,Корма и лакомства для собак,"Шандонг Люшес Пет Фуд Ко., ЛТД",134,226.0
"Мясо, рыба, кулинария",Птица,Охлажденная птица,"ООО ""Реал СП""",299,107.7
Детские товары,Детское питание,Детские каши,Eshbal Functional Food LTD,228,395.0
"Мясо, рыба, кулинария",Мясная гастрономия,Колбаса,"ООО ""Мясокомбинат ЭКО""",429,404.0
Замороженные продукты,"Замороженные фрукты, овощи, смеси",Замороженные овощи и смеси,"ООО ""Трио-Инвест""",99,54.0
Бакалея,"Растительные масла, соусы","Соусы, кетчупы, томатные пасты","ООО ""СП Мирный""",99,157.0
Бакалея,"Соль, сахар, специи",Специи и приправы,ООО «Юнилевер Русь»,51,330.0
Бакалея,Диетические продукты,Заменители сахара и диабетика,"ООО ""Вишневогорская кондитерская фабрика""",116,461.0
Бакалея,Крупы и макаронные изделия,Бобовые,"ООО ""Ресурс""",79,350.0
Замороженные продукты,"Мороженое, десерты",None,ИП Шибаланская А.А.,269,250.0
"Мясо, рыба, кулинария",Мясная гастрономия,Колбаса,"ООО ""МПЗ ""Рублевский""",1945,439.0
"Молочные продукты, сыр, яйца",Сыры,Сыры с плесенью,"ЗАО ""Томмолоко""",192,303.0
"Мясо, рыба, кулинария",Птица,Субпродукты,"ЗАО ""ПЕТЕЛИНСКАЯ ПТИЦЕФАБРИКА""",112,140.0
Бакалея,"Растительные масла, соусы","Соусы, кетчупы, томатные пасты","АО ""Виртекс""",114,100.0
"Молочные продукты, сыр, яйца",Сыры,Сыры твердые и полутвердые,"ЗАО ""Сернурский сырзавод""",799,328.0
"Молочные продукты, сыр, яйца",Кисломолочные продукты,Творог и творожные продукты,"ООО ""АгриВолга""",134,157.0
Бакалея,Диетические продукты,"Отруби, клетчатка, добавки","ООО ""Сибирская клетчатка""",112,300.0
Бакалея,"Орехи, сухофрукты, семечки",Сухофрукты и цукаты,"ООО ""Зеленая горка""",139,58.0
Бакалея,Чипсы и снеки,Сухарики,"ЗАО ""КДВ Павловский Посад""",14,410.0
"Мясо, рыба, кулинария","Рыба, икра, морепродукты",Замороженные морепродукты,"ООО ""Дальпромрыба""",239,108.0
Замороженные продукты,"Мороженое, десерты",None,"ООО ""Хладокомбинат №3""",212,185.0
"Хлеб, кондитерские изделия","Печенье, пряники, вафли","Печенье, галеты, крекеры","ОАО ""Келлогг""",49,400.0
"Хлеб, кондитерские изделия","Печенье, пряники, вафли","Печенье, галеты, крекеры","ООО ""Большеберезниковский хлебзавод""",78,406.0
"Молочные продукты, сыр, яйца",Сыры,Сыры с плесенью,"ООО ""УГМК-Агро""",229,230.0
Бакалея,Крупы и макаронные изделия,Смеси круп,"ООО ""Акшая Инвайт""",126,349.0
Бакалея,Консервы и мёд,Рыбные консервы,"ООО ""Сервис Партнер ""РПК ""Корат""",134,101.0
"Молочные продукты, сыр, яйца",Сыры,Сыры мягкие и творожные,МЛЕКАРА ШАБАЦ А.Д. Шабац,129,240.0
Напитки,"Соки, нектары",Соки,"АО ""ВБД""",274,50.0
"Хлеб, кондитерские изделия","Печенье, пряники, вафли","Печенье, галеты, крекеры","ООО ""Арткондитер""",156,280.0
"Хлеб, кондитерские изделия","Шоколад, конфеты, жевательная резинка","Конфеты, марципан, драже","ООО ""Малвикъ""",48,390.0
Напитки,"Соки, нектары",Нектары и сокосодержащие напитки,"ООО ТПК ""Аршани""",144,50.0
"Мясо, рыба, кулинария",Мясо,Кролик,КВХ Евдокимов М.Д,625,168.0
"Мясо, рыба, кулинария",Мясная гастрономия,Колбаса,"ООО ""МПЗ Мясницкий ряд""",219,470.0
"Хлеб, кондитерские изделия","Шоколад, конфеты, жевательная резинка",Жевательная резинка,"ООО ""Ригли""",18,166.0
Бакалея,"Соль, сахар, специи",Специи и приправы,Santa Maria AB,79,244.0
"Хлеб, кондитерские изделия","Шоколад, конфеты, жевательная резинка","Конфеты, марципан, драже","ООО ""КДВ ВОРОНЕЖ""",344,315.0
"Молочные продукты, сыр, яйца","Молоко, сливки",Сливки,"(A) АО ""Латтефреско Умалат"", &lt,br/&gt,(B) ЗАО ""Умалат""",279,362.0
Бакалея,Крупы и макаронные изделия,Смеси круп,"ООО ""Акшая Инвайт""",106,334.0
"Молочные продукты, сыр, яйца",Йогурт,Йогурты традиционные,"АО ""ДАНОН РОССИЯ""",59,74.0
"Хлеб, кондитерские изделия","Хлеб, лаваш, лепешки",Хлебцы и тарталетки,"ООО ""Династия""",39,370.0
Здоровый выбор,Без глютена,Хлеб и хлебцы,Dr.Schar Espana S.L.U.,345,229.0
"Молочные продукты, сыр, яйца",Сыры,Сыры твердые и полутвердые,Швейцария,2369,396.0
"Молочные продукты, сыр, яйца","Молоко, сливки",Молоко,"ЗАО ""Завод стерилизованного молока ""Можайский""",81,66.0
Напитки,"Лимонады, тоники, газированные напитки",None,"ООО ""ПепсиКо Холдингс""",123,49.4
Бакалея,Крупы и макаронные изделия,Макароны и паста,"Сишуи Лифенг Фудз Ко., Лтд",229,350.0
Бакалея,"Растительные масла, соусы",Уксусы и маринады,"ООО ""СП Мирный""",61,186.8
"Молочные продукты, сыр, яйца",Йогурт,Йогурты традиционные,"см. цифру в маркировке: 3 - АО ""ВБД"", 4 - ООО ""ВБД"".",47,95.0
"Мясо, рыба, кулинария",Кулинария,Первые и вторые блюда,"ООО ""Консервное предприятие Русское поле - Албаши""",119,105.0
Товары для животных,Корма и лакомства,Корма и лакомства для собак,"Monge &amp, C.S.p.A.",149,89.0
Бакалея,Продукты быстрого приготовления,Хлопья и каши,"ООО ""Мистраль Трейдинг""",91,345.0
"Мясо, рыба, кулинария",Птица,Охлажденная птица,"ЗАО ""Краснобор""",429,204.0
Напитки,"Соки, нектары",Нектары и сокосодержащие напитки,"ООО ""Лебедянский""",84,50.0
Напитки,"Лимонады, тоники, газированные напитки",None,"ООО ""ПепсиКо Холдингс""",134,0.4
"Мясо, рыба, кулинария",Мясная гастрономия,"Деликатесы, паштеты, заливное","ООО ""Полезные продукты""",188,609.0
Товары для животных,Корма и лакомства,Корма и лакомства для кошек,"ООО ""Марс""",364,370.0
Детские товары,Детское питание,Детские смеси,Нестле Свисс С. А.,514,484.0
"Хлеб, кондитерские изделия",Булочки и сладкая выпечка,"Булочки, пончики, ватрушки","ЗАО ""ЩЁЛКОВОХЛЕБ""",32,320.0
"Хлеб, кондитерские изделия","Халва, лукум, восточные сладости","Халва, лукум, чак-чак","ООО ""Вкуснотория""",143,380.0
"Хлеб, кондитерские изделия","Мармелад, зефир, пастила",Мармелад,"ООО ""Азовская кондитерская фабрика""",23,310.0
Напитки,"Соки, нектары",Нектары и сокосодержащие напитки,"АО ""ВБД Напитки""",99,50.0
"Молочные продукты, сыр, яйца",Сгущённое молоко и сгущёнка,None,"ОАО ""Глубокский молочноконсервный комбинат""",58,150.0
"Мясо, рыба, кулинария",Мясная гастрономия,"Деликатесы, паштеты, заливное","ЗАО ""Хаме Фудс""",59,180.0
"Мясо, рыба, кулинария",Кулинария,Первые и вторые блюда,"ООО ""Мясокомбинат ""Дороничи""",123,95.0
Бакалея,Мука и кулинарные ингредиенты,Кулинарные ингредиенты,"ООО ""Русквас""",349,280.0
Бакалея,Продукты быстрого приготовления,"Сухие завтраки, мюсли, гранола","ООО ""Сириал Партнерс Рус""",83,376.0
Напитки,"Лимонады, тоники, газированные напитки",None,DR Pepper Company,72,45.07
Товары для животных,Корма и лакомства,Корма и лакомства для собак,Шандонг Люшес Пет Фуд Ко.,227,233.0
Бакалея,Крупы и макаронные изделия,Макароны и паста,"ООО ""Макаронная фабрика Америя""",74,340.0
Бакалея,"Растительные масла, соусы","Соусы, кетчупы, томатные пасты","ООО ""Русские продукты""",126,30.0
Детские товары,Детское питание,Детские каши,"ООО ""Хайнц-Георгиевск""",72,377.0
Замороженные продукты,"Замороженные блинчики, тесто и выпечка",Замороженные блинчики и оладьи,"ООО ""МОРОЗКО""",189,329.0
Бакалея,Чипсы и снеки,Батончики,"ООО ""ПРОДИНКО""",36,350.0
"Хлеб, кондитерские изделия","Печенье, пряники, вафли",Пряники,"ЗАО ""Кондитерская фабрика ""Старая Тула""",26,380.0
"Молочные продукты, сыр, яйца",Кисломолочные продукты,Сметана,"ООО ""Галактика""",115,230.0
"Хлеб, кондитерские изделия","Хлеб, лаваш, лепешки",Хлебцы и тарталетки,"ООО ""Эверест""",19,310.0
Замороженные продукты,"Пельмени, вареники, хинкали","Хинкали, чебуреки, манты","ООО ""Торгово-промышленная компания ""Вилон""",36,210.0
"Молочные продукты, сыр, яйца",Кисломолочные продукты,Сметана,"АО ""Данон Россия""",53,204.0
"Хлеб, кондитерские изделия","Печенье, пряники, вафли","Печенье, галеты, крекеры","ООО ""Лазурь""",64,410.0
"Молочные продукты, сыр, яйца",Сыры,Сыры твердые и полутвердые,Беларусь,499,324.0
Бакалея,"Растительные масла, соусы",Уксусы и маринады,Carl Kuhne,257,21.0
Бакалея,"Растительные масла, соусы",Десертные соусы и сиропы,Industrializadora Integral del Agave S.A.P.I. de C.V.,799,310.0
"Хлеб, кондитерские изделия","Хлеб, лаваш, лепешки",Хлеб,"ООО ""Рижский хлеб""",79,320.0
"Молочные продукты, сыр, яйца",Сыры,Сыры плавленые,"ООО ""Валио""",132,217.0
Собственное производство,Пекарня,Хлеб,"ООО ""Гиперглобус""",249,270.0
Бакалея,"Орехи, сухофрукты, семечки",Смеси орехов и сухофруктов,"ООО ""Комсервис""",169,386.0
"Мясо, рыба, кулинария",Мясная гастрономия,Колбаса,"ЗАО ""Короча""",235,419.0
"Хлеб, кондитерские изделия","Шоколад, конфеты, жевательная резинка",Наборы конфет,Fazer Confectionery Ltd/ Фацер Конфекшенари Лтд,499,545.0
Собственное производство,Рыбный ряд,Соленая рыба,"ООО ""Гиперглобус""",1779,148.0
Товары для животных,Корма и лакомства,Корма и лакомства для собак,"ООО ""Рубис""",44,129.0
"Хлеб, кондитерские изделия",Торты и пирожные,Свежие торты и пирожные,ООО «Компания у Палыча»,469,427.0
"Молочные продукты, сыр, яйца",Кисломолочные продукты,Творог и творожные продукты,"ОАО ""Жуковомолоко""",139,157.0
"Мясо, рыба, кулинария","Рыба, икра, морепродукты",Морепродукты и салаты,"ООО ""ТД ""Балтийский берег""",35,60.0
Бакалея,Консервы и мёд,Овощные консервы,"Empacadora San Marcos, S.A. De. C.V.",444,65.0
"Мясо, рыба, кулинария",Мясная гастрономия,"Деликатесы, паштеты, заливное",Carnex d.o.o.,49,310.0
Напитки,"Лимонады, тоники, газированные напитки",None,"ООО ""ПепсиКо Холдингс""",134,30.0
Здоровый выбор,Органические продукты,Суперфуды и полезные добавки,Nutrisure Ltd North Barn,859,343.0
Бакалея,Крупы и макаронные изделия,Макароны и паста,"ООО ""Нудел Продукт""",27,340.0
Собственное производство,Мясной цех,"Охлажденное мясо, фарш","ООО ""Гиперглобус""",269,689.0
Бакалея,Продукты быстрого приготовления,Хлопья и каши,"ООО ""ПК ""Партнер""",49,180.0
Бакалея,Диетические продукты,Продукты для похудения,"ООО ""ЛЕОВИТ нутрио""",27,370.0
Детские товары,Детское питание,Детские смеси,"АО ""ДП Истра-Нутриция""",959,488.0
Бакалея,Крупы и макаронные изделия,Макароны и паста,"1. ПАО ""Макаронно-кондитерское производство"", 2. АО ""Тульская макаронная фабрика"", 3. ООО ""МакПром"". Маркировку изготовителя смотри на упаковке в поле даты.",82,350.0
Собственное производство,Рыбный ряд,Охлажденная рыба и полуфабрикаты,Фарерские острова,1499,189.83
Бакалея,Диетические продукты,Безглютеновые и соевые продукты,"ООО ""Мистраль Трейдинг""",49,327.0
Товары для животных,Корма и лакомства,Корма и лакомства для кошек,Royal Canin SAS,479,418.4
"Молочные продукты, сыр, яйца",Йогурт,Йогурты питьевые,"АО ""ВБД""",52,73.0
Детские товары,Детское питание,Детские каши,Topfer GmbH,269,429.0
Бакалея,Крупы и макаронные изделия,Смеси круп,Riso Scotti S.p.A,217,343.0
Бакалея,Чипсы и снеки,Мясные и рыбные снеки,"ООО ""ТД ""Балтийский берег""",154,101.0
Детские товары,Детское питание,Детское пюре,"ОАО ""Сады Придонья""",12,46.0
Бакалея,Консервы и мёд,"Варенье, джемы, пюре",Alnatura GmbH,189,59.0
"Мясо, рыба, кулинария",Мясная гастрономия,Колбаса,"ООО ""Мясокомбинат ЭКО""",969,522.0
"Мясо, рыба, кулинария",Мясная гастрономия,Колбаса,"ООО ""Малаховский мясокомбинат""",149,310.0
"Хлеб, кондитерские изделия",Торты и пирожные,Свежие торты и пирожные,"ЗАО ""Круг"", кондитерская фабрика",329,263.3
"Мясо, рыба, кулинария","Рыба, икра, морепродукты",Замороженные морепродукты,"ООО ""Вичюнай-Русь""",349,53.56
Бакалея,"Чай, кофе, какао",Кофе растворимый,"ООО ""Гранд-НН""",159,76.0
Бакалея,"Растительные масла, соусы","Соусы, кетчупы, томатные пасты",Carl Kuhne KG,374,110.0
"Хлеб, кондитерские изделия","Печенье, пряники, вафли","Печенье, галеты, крекеры","ОАО ""Пищекомбинат Бежицкий""",43,460.0
"Хлеб, кондитерские изделия","Мармелад, зефир, пастила",Мармелад,"ООО ""Славконд""",52,330.0
Товары для животных,Корма и лакомства,Корма и лакомства для собак,"ООО ""Марс""",999,350.0
Замороженные продукты,Пицца,None,"ООО ""Морозко""",199,263.0
"Молочные продукты, сыр, яйца",Сыры,Сыры твердые и полутвердые,"ЗАО ""Сернурский сырзавод""",499,355.0
Бакалея,Продукты быстрого приготовления,Хлопья и каши,Raisio Nutrition Ltd.,179,360.0
Бакалея,Крупы и макаронные изделия,Макароны и паста,"ООО ""Макаронная фабрика Америя""",25,340.0
"Молочные продукты, сыр, яйца","Молоко, сливки",Молоко,"ОАО ""МИЛКОМ""",67,59.0
Бакалея,Чипсы и снеки,Попкорн,"ООО ""Горячие крендели ""Север""",63,398.14
